Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Tags,Image URL
29.100.373,FALSE,TRUE,196442,European Sculpture and Decorative Arts,Statue,Study in the Nude for The Little Fourteen-Year-Old Dancer,French,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,"modeled ca. 1878–80, cast 1920",1873,1920,Bronze,28-1/2 x 13-11/16 x 12-1/4 in.  (72.4 x 34.8 x 31.1 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196442,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Male Nudes|Dancers,https://images.metmuseum.org/CRDImages/es/web-large/ES7551.jpg
29.100.386,FALSE,TRUE,196455,European Sculpture and Decorative Arts,Statuette,Dancer Holding Her Right Foot in Her Right Hand,French,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,"modeled probably ca. 1900–1910, cast 1920",1895,1920,Bronze,Overall: 20 3/4 × 14 1/2 × 7 3/8 in. (52.7 × 36.8 × 18.7 cm),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196455,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Female Nudes|Dancers,https://images.metmuseum.org/CRDImages/es/web-large/76484.jpg
29.100.391,FALSE,TRUE,196460,European Sculpture and Decorative Arts,Statuette,First Arabesque,French,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,"modeled probably before 1890, cast 1920",1850,1920,Bronze,Overall: 17 1/4 × 23 3/4 × 11 5/8 in. (43.8 × 60.3 × 29.5 cm),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196460,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Female Nudes,https://images.metmuseum.org/CRDImages/es/web-large/76445.jpg
29.100.401,FALSE,TRUE,196470,European Sculpture and Decorative Arts,Statuette,Second Arabesque,French,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,"modeled before 1885, cast 1920",1850,1920,Bronze,11-3/8 x 15-1/4 x 6-1/4 in.  (28.9 x 38.7 x 15.9 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196470,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Women,https://images.metmuseum.org/CRDImages/es/web-large/ES7532.jpg
29.100.420,FALSE,TRUE,196489,European Sculpture and Decorative Arts,Head,Study for a Portrait of Mathilde Salle,French,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,"modeled ca. 1892, cast 1920",1887,1920,Bronze on black marble base,H. w. base: 11-1/8; W. 4; D. 4-7/8 in.  (28.3 x 10.2 x 12.4 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196489,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Heads|Portraits,https://images.metmuseum.org/CRDImages/es/web-large/76494.jpg
"29.100.437a, b",FALSE,TRUE,196506,European Sculpture and Decorative Arts,Statuette group,"Horse with Jockey; Horse Galloping on the Right Foot, the Back Left Foot Only Touching the Ground",French,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,"modeled possibly before 1871, cast 1920",1850,1920,Bronze,9-5/6 x 13 x 7 in.  (25.0 x 33.0 x 17.8 cm.),"H.O. Havemeyer Collection, Bequest of Mrs. H.O. Havemeyer, 1929",,,,,,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/196506,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Men|Horse Riding|Jockeys,https://images.metmuseum.org/CRDImages/es/web-large/ES7547.jpg
1983.1092,FALSE,TRUE,263608,Photographs,Photograph,"Paul Poujaud, Mme. Arthur Fontaine, and Degas",,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,1895,1895,1895,Gelatin silver print,29.4 x 40.5 cm. (11  9/16  x 15  15/16  in.),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1983",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/263608,2019-06-15T03:00:44.137Z,"Metropolitan Museum of Art, New York, NY",Interiors|Portraits|Men|Women,https://images.metmuseum.org/CRDImages/ph/web-large/DP352702.jpg
2000.655.1,FALSE,TRUE,284452,Photographs,Photograph,"Paule Gobillard, Jeannie Gobillard, Julie Manet, and Geneviève Mallarmé",,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,1895,1895,1895,Gelatin silver print,28.4 x 38.9 cm (11 3/16 x 15 5/16 in.),"Gift of Paul F. Walter, 2000",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/284452,2019-06-15T03:00:44.137Z,"Metropolitan Museum of Art, New York, NY",Portraits|Women,https://images.metmuseum.org/CRDImages/ph/web-large/DT4714.jpg
2000.655.2,FALSE,TRUE,284453,Photographs,Photograph,"Street Scene, La-Queue-en-Brie (Val-de-Marne)",,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,ca. 1896,1894,1898,Gelatin silver print,28.5 x 39.5 cm (11 1/4 x 15 9/16 in. ),"Gift of Paul F. Walter, 2000",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/284453,2019-06-22T03:00:42.08Z,"Metropolitan Museum of Art, New York, NY",Street Scene|Men|Women,https://images.metmuseum.org/CRDImages/ph/web-large/DP252161.jpg
2004.335,FALSE,TRUE,285444,Photographs,Photograph,[Self-Portrait with Christine and Yvonne Lerolle],,,,,,Artist,,Edgar Degas,"French, Paris 1834–1917 Paris",,"Degas, Edgar",French,1834,1917,probably 1895–96,1895,1896,Gelatin silver print,"Image: 37.1 x 29.3 cm (14 5/8 x 11 9/16 in.)
Mount: 55.4 x 45.5 cm (21 13/16 x 17 15/16 in.)","Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel and Rogers Fund, 2004",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/285444,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Men|Self-portraits|Women,https://images.metmuseum.org/CRDImages/ph/web-large/DP117520.jpg
