Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Tags,Image URL
1982.446,False,True,334895,Drawings and Prints,Drawing,Half-figure of a Young Woman,,,,,,Artist,,Gustav Klimt,"Austrian, Baumgarten 1862–1918 Vienna",,"Klimt, Gustav",Austrian,1862,1918,1918,1918,1918,Graphite.,22 3/8 x 14 11/16 in.  (56.9 x 37.3 cm),"Gift of Sir John Pope-Hennessy, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/334895,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Women,https://images.metmuseum.org/CRDImages/dp/web-large/DP819708.jpg
1984.433.192,False,True,334896,Drawings and Prints,Drawing,Reclining Nude with Outstretched Left Arm,,,,,,Artist,,Gustav Klimt,"Austrian, Baumgarten 1862–1918 Vienna",,"Klimt, Gustav",Austrian,1862,1918,1903–1904,1903,1904,Graphite,"Sheet: 13 7/8 × 21 1/2 in. (35.2 × 54.6 cm)
Frame: 23 × 29 × 1 1/2 in. (58.4 × 73.7 × 3.8 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/334896,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Female Nudes,https://images.metmuseum.org/CRDImages/dp/web-large/DP819710.jpg
"1984.433.193a, b",False,True,334898,Drawings and Prints,Drawing,Standing Nude,,,,,,Artist,,Gustav Klimt,"Austrian, Baumgarten 1862–1918 Vienna",,"Klimt, Gustav",Austrian,1862,1918,1906–07,1906,1907,Graphite,"Sheet: 22 3/8 × 14 3/4 in. (56.8 × 37.5 cm)
Frame: 29 1/4 × 23 1/4 × 1 in. (74.3 × 59.1 × 2.5 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/334898,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Female Nudes,https://images.metmuseum.org/CRDImages/dp/web-large/DP819703.jpg
1984.433.194,False,True,334899,Drawings and Prints,Drawing,Two Reclining Nudes,,,,,,Artist,,Gustav Klimt,"Austrian, Baumgarten 1862–1918 Vienna",,"Klimt, Gustav",Austrian,1862,1918,1905–1906,1905,1906,Colored pencil,"Sheet: 5 3/8 × 8 9/16 in. (13.6 × 21.8 cm)
Frame: 23 × 29 × 1 1/2 in. (58.4 × 73.7 × 3.8 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/334899,2019-10-10T14:54:23.72Z,"Metropolitan Museum of Art, New York, NY",Abstraction|Human Figures,https://images.metmuseum.org/CRDImages/dp/web-large/DP819711.jpg
1984.433.195,False,True,334901,Drawings and Prints,Drawing,Two Studies for a Crouching Woman,,,,,,Artist,,Gustav Klimt,"Austrian, Baumgarten 1862–1918 Vienna",,"Klimt, Gustav",Austrian,1862,1918,1914–15,1914,1915,Graphite,"Sheet: 21 1/2 × 13 7/8 in. (54.6 × 35.2 cm)
Frame: 29 × 23 × 1 1/2 in. (73.7 × 58.4 × 3.8 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/334901,2019-03-21T03:00:46.84Z,"Metropolitan Museum of Art, New York, NY",Sleeping|Women,https://images.metmuseum.org/CRDImages/dp/web-large/DP819705.jpg
1984.433.200,False,True,334902,Drawings and Prints,Drawing,Two Women Friends Reclining,,,,,,Artist,,Gustav Klimt,"Austrian, Baumgarten 1862–1918 Vienna",,"Klimt, Gustav",Austrian,1862,1918,ca. 1905–06,1900,1910,Graphite,"Sheet: 13 3/4 × 21 3/4 in. (34.9 × 55.2 cm)
Frame: 23 × 29 × 1 1/2 in. (58.4 × 73.7 × 3.8 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/334902,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Female Nudes,https://images.metmuseum.org/CRDImages/dp/web-large/DP819709.jpg
1984.433.198,False,True,334903,Drawings and Prints,Drawing,Reclining Nude with Drapery,,,,,,Artist,,Gustav Klimt,"Austrian, Baumgarten 1862–1918 Vienna",,"Klimt, Gustav",Austrian,1862,1918,ca. 1912–13,1907,1917,Graphite,"Sheet: 14 1/2 in. × 22 in. (36.8 × 55.9 cm)
Frame: 24 1/2 × 30 1/2 × 1 in. (62.2 × 77.5 × 2.5 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/334903,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Female Nudes,https://images.metmuseum.org/CRDImages/dp/web-large/DP819707.jpg
1984.433.197,False,True,334904,Drawings and Prints,Drawing,The Lovers,,,,,,Artist,,Gustav Klimt,"Austrian, Baumgarten 1862–1918 Vienna",,"Klimt, Gustav",Austrian,1862,1918,1913,1913,1913,Graphite,"Sheet: 14 5/8 × 22 1/4 in. (37.1 × 56.5 cm)
Frame: 23 × 29 × 1 1/2 in. (58.4 × 73.7 × 3.8 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/334904,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Men|Lovers|Women,https://images.metmuseum.org/CRDImages/dp/web-large/DP819706.jpg
1984.433.196,False,True,334905,Drawings and Prints,Drawing,"Reclining Nude with Drapery, Back View",,,,,,Artist,,Gustav Klimt,"Austrian, Baumgarten 1862–1918 Vienna",,"Klimt, Gustav",Austrian,1862,1918,1917–1918,1917,1918,Graphite,"Sheet: 14 5/8 × 22 3/8 in. (37.1 × 56.8 cm)
Frame: 23 × 29 × 1 1/2 in. (58.4 × 73.7 × 3.8 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/334905,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Female Nudes,https://images.metmuseum.org/CRDImages/dp/web-large/DP819704.jpg
1984.433.199,False,True,334906,Drawings and Prints,Drawing,Reclining Nude,,,,,,Artist,,Gustav Klimt,"Austrian, Baumgarten 1862–1918 Vienna",,"Klimt, Gustav",Austrian,1862,1918,ca. 1912–13,1907,1917,Graphite,"Sheet: 14 3/4 × 22 1/2 in. (37.5 × 57.2 cm)
Frame: 23 × 29 × 1 1/2 in. (58.4 × 73.7 × 3.8 cm)","Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/334906,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Female Nudes,https://images.metmuseum.org/CRDImages/dp/web-large/DP819702.jpg
