Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository,Tags,Image URL
67.155.13,FALSE,TRUE,204767,European Sculpture and Decorative Arts,Bust,Mask of the Man with the Broken Nose (Masque de l'homme au nez cassé),French,,,,,Artist,,Auguste Rodin,"French, Paris 1840–1917 Meudon",,"Rodin, Auguste",French,1840,1917,"model finished in 1864, cast date unknown",1864,1864,Bronze,Overall: 12 1/2 × 7 1/4 × 6 1/8 in. (31.8 × 18.4 × 15.6 cm),"Bequest of Susan Vanderpoel Clark, 1967",,,,,,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/204767,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Masks|Faces|Men,https://images.metmuseum.org/CRDImages/es/web-large/197273.jpg
63.92.3,FALSE,TRUE,339721,Drawings and Prints,Drawing,The Golden Age,,,,,,Artist,,Auguste Rodin,"French, Paris 1840–1917 Meudon",,"Rodin, Auguste",French,1840,1917,1871–78,1871,1878,Black chalk heightened with white on faded blue paper,18 7/16 x 12 in. (46.8 x 30.4 cm),"Rogers Fund, 1963",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/339721,2019-07-02T04:41:10.52Z,"Metropolitan Museum of Art, New York, NY",Children|Infants|Men|Women,https://images.metmuseum.org/CRDImages/dp/web-large/DP812091.jpg
1975.312.7,FALSE,TRUE,206340,European Sculpture and Decorative Arts,Bust,Bacchante (Grapes or Autumn),French,,,,,Artist,,Auguste Rodin,"French, Paris 1840–1917 Meudon",,"Rodin, Auguste",French,1840,1917,ca. 1874,1869,1879,"Terracotta, wood base","Overall: 15 1/2 × 8 7/8 × 9 3/8 in. (39.4 × 22.5 × 23.8 cm);
Height (with base, wt. confirmed): 18 3/4 in., 20 lb. (47.6 cm, 9.1 kg)","Purchase, Charles Ulrick and Josephine Bay Foundation Inc. Gift, 1975",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/206340,2019-09-05T04:39:54.57Z,"Metropolitan Museum of Art, New York, NY",Grapes|Women,https://images.metmuseum.org/CRDImages/es/web-large/DP314805.jpg
25.22.2,FALSE,TRUE,363372,Drawings and Prints,Print,Love Turning the World,,,,,,Artist,by,Auguste Rodin,"French, Paris 1840–1917 Meudon",,"Rodin, Auguste",French,1840,1917,1881,1881,1881,"Drypoint, second state of 2","plate: 8 1/8 x 10 1/16 in. (20.7 x 25.6 cm)
sheet: 10 13/16 x 13 3/4 in. (27.5 x 34.9 cm)
image: 7 7/8 x 9 7/8 in. (20 x 25.1 cm)","Harris Brisbane Dick Fund, 1925",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/363372,2019-10-10T14:54:23.72Z,"Metropolitan Museum of Art, New York, NY",Globes|Human Figures,https://images.metmuseum.org/CRDImages/dp/web-large/MM7786.jpg
12.13.2,FALSE,TRUE,191864,European Sculpture and Decorative Arts,Statuette,Fallen Caryatid Carrying an Urn,French,,,,,Artist,,Auguste Rodin,"French, Paris 1840–1917 Meudon",,"Rodin, Auguste",French,1840,1917,1883,1883,1883,Cast terracotta,Overall (confirmed): 16 × 10 × 10 3/8 in. (40.6 × 25.4 × 26.4 cm),"Gift of Thomas F. Ryan, 1910",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/191864,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Caryatids|Men|Urns,https://images.metmuseum.org/CRDImages/es/web-large/DP-13617-074.jpg
66.85,FALSE,TRUE,204668,European Sculpture and Decorative Arts,Bust,Victor Hugo,French,,,,,Artist,,Auguste Rodin,"French, Paris 1840–1917 Meudon",,"Rodin, Auguste",French,1840,1917,first modeled 1883,1883,1883,"Bronze, marble base",Overall: 17 1/2 × 12 1/2 × 11 in. (44.5 × 31.8 × 27.9 cm),"Gift of Virginia Pratt Thayer, Sally Pratt Jackson, Phyllis Pratt Nitz, Edwin H. Baker Pratt and John T. Pratt Jr., 1966",,,,,,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/204668,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Men|Portraits,https://images.metmuseum.org/CRDImages/es/web-large/186503.jpg
13.221,FALSE,TRUE,192676,European Sculpture and Decorative Arts,Statue,The Martyr,French,,,,,Artist,,Auguste Rodin,"French, Paris 1840–1917 Meudon",,"Rodin, Auguste",French,1840,1917,modeled 1885,1885,1885,Bronze,Length: 61 1/2 in. (156.2 cm),"Gift of Watson B. Dickerman, 1913",,,,,,,,,,,,Sculpture-Bronze,,http://www.metmuseum.org/art/collection/search/192676,2019-08-15T17:33:38.683Z,"Metropolitan Museum of Art, New York, NY",Female Nudes,https://images.metmuseum.org/CRDImages/es/web-large/131964.jpg
16.37.3,FALSE,TRUE,364887,Drawings and Prints,Print,Bust of Bellona,,,,,,Artist,,Auguste Rodin,"French, Paris 1840–1917 Meudon",,"Rodin, Auguste",French,1840,1917,1882–85,1882,1885,"Drypoint, third state of three, before bevelled plate","plate: 5 3/4 x 3 15/16 in. (14.6 x 10 cm)
sheet: 9 1/16 x 6 15/16 in. (23 x 17.7 cm)
plate: 5 13/16 x 3 15/16 in. (14.8 x 10 cm)","Rogers Fund, 1916",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/364887,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Goddess,https://images.metmuseum.org/CRDImages/dp/web-large/DP865143.jpg
29.52.8,FALSE,TRUE,369666,Drawings and Prints,Print,Bust of Bellona,,,,,,Artist,,Auguste Rodin,"French, Paris 1840–1917 Meudon",,"Rodin, Auguste",French,1840,1917,1882–85,1882,1885,"Drypoint, third state of 3","sheet: 13 1/4 x 9 9/16 in. (33.6 x 24.3 cm)
image: 5 3/8 x 3 7/16 in. (13.7 x 8.8 cm)
plate: 5 13/16 x 3 7/8 in. (14.8 x 9.8 cm)","Gift of Miss Mary W. Tweed, 1929",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/369666,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Portraits|Goddess,https://images.metmuseum.org/CRDImages/dp/web-large/DP865141.jpg
64.56,FALSE,TRUE,369667,Drawings and Prints,Print,Bust of Bellona,,,,,,Artist,,Auguste Rodin,"French, Paris 1840–1917 Meudon",,"Rodin, Auguste",French,1840,1917,1882–85,1882,1885,Drypoint,"sheet: 10 9/16 x 8 1/16 in. (26.8 x 20.5 cm)
image: 5 1/4 x 3 7/16 in. (13.4 x 8.8 cm)
plate: 5 13/16 x 3 15/16 in. (14.8 x 10 cm)","Gift of Donald Oenslager, 1964",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/369667,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",Goddess,https://images.metmuseum.org/CRDImages/dp/web-large/DP865142.jpg
